road,id,model_type,condition,name,lat,lon,length
N1,1000027,bridge,B,KATCHPUR BOX CULVERT,23.6964000869109,90.5350989801047,0.03999999999999915
N1,1000028,bridge,A,NOYAPARA CULVERT,23.6943906141361,90.5375740774869,0.3370000000000015
N1,1000029,link,,Box culvert,23.6943608,90.5376108,0.004999999999999005
N1,1000030,bridge,A,ADUPUR CULVERT,23.6943023869158,90.5377073719626,0.012000000000000455
N1,1000031,bridge,A,NAYABARI KASPUR BOX CULVERT,23.6923601518691,90.5409183897196,0.39899999999999913
N1,1000032,link,,Box culvert,23.6922774,90.5410552,0.017000000000001236
N1,1000033,link,,"Chittagong 248 km,Comilla 81 km",23.6918052,90.5426108,0.18399999999999928
N1,1000034,link,,Bridge start,23.6911108,90.5448886,0.24799999999999933
N1,1000035,link,,Bridge end,23.6910552,90.5451386,0.026000000000001577
N1,1000036,bridge,B,NAYABARI BOX CULVERT,23.6909119315151,90.5454624957575,0.036999999999999034
N1,1000037,link,,Right to Syedpur (R113) left to Joydebpur N105),23.6904163,90.546583,0.1280000000000001
N1,1000038,bridge,A,KHAS PARA BOX CULVERT,23.6884123260204,90.5485585290816,0.3030000000000008
N1,1000039,bridge,A,DAWAN BAG BOX CULVERT,23.6883197331632,90.548649807653,0.013999999999999346
N1,1000040,link,,"Ctg 247 km,Comilla 80 km",23.6865274,90.5504167,0.270999999999999
N1,1000041,bridge,A,Madanpur Bridge.(L),23.685583027027,90.551207981081,0.136000000000001
N1,1000042,bridge,A,MADAN PUR (R),23.685583027027,90.551207981081,0.0
